20
0,24,17,7,17,9,20,6,15,8,8,8,17,3,15,11,11,8,20,17
24,0,7,25,19,15,4,18,19,18,26,32,21,27,15,17,35,30,10,7
17,7,0,18,18,8,3,11,16,11,19,25,18,20,14,10,28,23,11,4
7,25,18,0,24,10,21,7,22,15,1,13,24,10,10,8,10,15,21,18
17,19,18,24,0,20,19,21,2,9,25,13,2,14,32,28,16,11,15,22
9,15,8,10,20,0,11,3,18,11,11,17,20,12,12,8,20,15,13,8
20,4,3,21,19,11,0,14,17,14,22,28,19,23,13,13,31,26,12,3
6,18,11,7,21,3,14,0,19,12,8,14,21,9,11,7,17,12,14,11
15,19,16,22,2,18,17,19,0,7,23,13,2,12,30,26,16,11,15,20
8,18,11,15,9,11,14,12,7,0,16,14,9,9,23,19,17,12,14,13
8,26,19,1,25,11,22,8,23,16,0,14,25,11,11,9,11,16,22,19
8,32,25,13,13,17,28,14,13,14,14,0,11,5,21,17,3,2,28,25
17,21,18,24,2,20,19,21,2,9,25,11,0,14,32,28,14,9,17,22
3,27,20,10,14,12,23,9,12,9,11,5,14,0,18,14,8,5,23,20
15,15,14,10,32,12,13,11,30,23,11,21,32,18,0,4,20,23,25,10
11,17,10,8,28,8,13,7,26,19,9,17,28,14,4,0,18,19,21,10
11,35,28,10,16,20,31,17,16,17,11,3,14,8,20,18,0,5,31,28
8,30,23,15,11,15,26,12,11,12,16,2,9,5,23,19,5,0,26,23
20,10,11,21,15,13,12,14,15,14,22,28,17,23,25,21,31,26,0,15
17,7,4,18,22,8,3,11,20,13,19,25,22,20,10,10,28,23,15,0
