# u, v, weight
266, 316, 0.0045
267, 290, 0.018
268, 274, 0.0035
268, 281, 0.0045
268, 309, 0.0065
269, 302, 0.009
269, 306, 0.013
269, 314, 0.0045
269, 322, 0.004
270, 275, 0.0005
270, 286, 0.0045
270, 296, 0.018
270, 297, 0.0045
270, 321, 0.003
270, 326, 0.002
271, 281, 0.0045
271, 287, 0.002
271, 290, 0.0015
271, 313, 0.007
271, 314, 0.013
271, 322, 0.0145
271, 325, 0.001
271, 327, 0.0045
271, 328, 0.0045
271, 331, 0.0045
271, 336, 0.0005
271, 338, 0.001
272, 291, 0.004
272, 306, 0.0045
273, 315, 0.0045
273, 337, 0.0045
274, 312, 0.009
274, 324, 0.0085
274, 334, 0.004
275, 281, 0.0045
275, 284, 0.003
275, 290, 0.0045
275, 309, 0.0035
275, 317, 0.0045
275, 328, 0.0005
275, 331, 0.0065
275, 336, 0.0045
275, 337, 0.0065
275, 338, 0.003
276, 279, 0.0005
276, 293, 0.0045
277, 279, 0.0035
277, 291, 0.0065
277, 292, 0.005
277, 294, 0.003
277, 311, 0.0065
277, 313, 0.0075
277, 314, 0.0055
277, 336, 0.013
278, 283, 0.0045
278, 312, 0.002
279, 293, 0.005
279, 294, 0.0065
279, 302, 0.0045
279, 310, 0.01
279, 333, 0.0065
279, 335, 0.007
279, 339, 0.0105
280, 305, 0.0005
280, 335, 0.0045
281, 287, 0.0045
281, 323, 0.0045
281, 324, 0.0045
281, 325, 0.0045
281, 338, 0.0045
283, 292, 0.0065
283, 293, 0.004
283, 294, 0.0055
283, 300, 0.0095
283, 303, 0.005
283, 312, 0.0055
283, 320, 0.007
283, 329, 0.0035
283, 333, 0.0065
283, 339, 0.0105
284, 306, 0.0045
284, 309, 0.0015
284, 315, 0.0015
284, 321, 0.0045
284, 322, 0.0105
284, 337, 0.0055
285, 286, 0.002
285, 309, 0.0045
285, 312, 0.0045
285, 315, 0.0045
285, 318, 0.0005
285, 321, 0.0015
286, 292, 0.0075
286, 303, 0.002
286, 304, 0.002
286, 308, 0.0015
286, 312, 0.0045
286, 315, 0.0035
286, 317, 0.0045
286, 319, 0.0045
286, 329, 0.0045
287, 290, 0.0015
287, 292, 0.0085
287, 295, 0.005
287, 309, 0.0055
287, 313, 0.008
287, 320, 0.007
287, 325, 0.002
287, 329, 0.0045
287, 336, 0.0045
287, 338, 0.002
287, 339, 0.0145
288, 339, 0.0025
289, 290, 0.0005
289, 291, 0.009
289, 307, 0.0045
289, 310, 0.009
289, 311, 0.008
289, 329, 0.0045
289, 336, 0.0015
290, 313, 0.0075
290, 334, 0.003
290, 338, 0.0015
290, 339, 0.014
291, 333, 0.0045
292, 294, 0.007
292, 300, 0.005
292, 301, 0.0065
292, 302, 0.005
292, 304, 0.0045
292, 312, 0.005
292, 314, 0.0095
292, 315, 0.005
292, 329, 0.005
293, 294, 0.0065
293, 305, 0.002
293, 312, 0.0045
293, 313, 0.001
293, 319, 0.0045
293, 333, 0.0015
293, 336, 0.0095
293, 339, 0.0075
294, 312, 0.008
294, 313, 0.0065
294, 336, 0.01
294, 339, 0.014
295, 300, 0.0005
295, 314, 0.009
295, 315, 0.0005
295, 321, 0.0065
295, 329, 0.0005
295, 331, 0.0015
295, 336, 0.0065
296, 299, 0.0015
296, 317, 0.018
296, 328, 0.018
296, 329, 0.013
297, 298, 0.0005
297, 324, 0.004
298, 323, 0.0045
298, 324, 0.0045
299, 301, 0.012
299, 330, 0.013
300, 301, 0.0015
300, 314, 0.0085
300, 315, 0.003
300, 322, 0.01
301, 315, 0.0045
301, 317, 0.0065
301, 331, 0.0005
301, 337, 0.0005
302, 304, 0.0115
302, 314, 0.0055
302, 318, 0.013
302, 325, 0.0145
302, 338, 0.0145
303, 306, 0.0015
303, 309, 0.0025
303, 313, 0.003
303, 315, 0.0065
303, 318, 0.0045
303, 321, 0.0045
303, 328, 0.0065
303, 336, 0.0065
303, 338, 0.006
304, 306, 0.0045
304, 313, 0.004
304, 315, 0.0005
304, 318, 0.0045
304, 321, 0.0045
304, 326, 0.0045
304, 328, 0.0065
304, 329, 0.0025
304, 331, 0.0045
305, 306, 0.0045
305, 333, 0.0015
306, 312, 0.002
306, 313, 0.0045
306, 314, 0.0135
306, 315, 0.005
307, 309, 0.004
307, 320, 0.0045
307, 334, 0.001
307, 338, 0.0045
308, 320, 0.0005
308, 321, 0.002
308, 327, 0.004
308, 329, 0.007
309, 327, 0.004
309, 329, 0.007
309, 334, 0.004
309, 338, 0.0055
310, 311, 0.001
310, 339, 0.0065
311, 333, 0.0045
311, 335, 0.003
311, 339, 0.0065
312, 313, 0.0025
313, 315, 0.0045
313, 325, 0.007
313, 329, 0.0065
313, 336, 0.0065
313, 338, 0.007
313, 339, 0.0075
314, 315, 0.0085
314, 318, 0.0125
314, 322, 0.0025
314, 338, 0.012
315, 318, 0.005
315, 322, 0.01
315, 323, 0.0035
315, 330, 0.0045
315, 338, 0.0045
315, 339, 0.011
317, 320, 0.0045
317, 321, 0.002
317, 323, 0.0055
317, 330, 0.0065
317, 331, 0.007
317, 337, 0.007
318, 320, 0.0045
318, 322, 0.014
318, 331, 0.007
320, 327, 0.0045
320, 328, 0.0045
321, 323, 0.0065
321, 331, 0.007
322, 329, 0.013
322, 338, 0.0135
323, 326, 0.0035
323, 331, 0.0045
323, 337, 0.0035
325, 331, 0.0045
325, 336, 0.0045
325, 337, 0.0045
325, 338, 0.001
326, 332, 0.0045
326, 334, 0.007
326, 336, 0.006
327, 338, 0.0045
328, 332, 0.0045
328, 336, 0.004
329, 338, 0.0045
330, 331, 0.0005
330, 337, 0.0005
331, 332, 0.0035
332, 336, 0.0065
332, 337, 0.0045
333, 335, 0.0015
334, 336, 0.002
335, 339, 0.0075
337, 338, 0.0045
338, 339, 0.0145
