17
0.0,29.0,34.0,148.0,33.0,151.0,152.0,151.0,150.0,154.0,180.0,49.0,52.0,46.0,46.0,62.0,50.0
29.0,0.0,7.0,142.0,9.0,138.0,140.0,143.0,138.0,145.0,170.0,35.0,38.0,32.0,32.0,51.0,34.0
34.0,7.0,0.0,145.0,14.0,141.0,143.0,146.0,141.0,148.0,173.0,38.0,41.0,35.0,35.0,56.0,35.0
148.0,142.0,145.0,0.0,143.0,64.0,70.0,12.0,67.0,23.0,60.0,153.0,149.0,152.0,152.0,156.0,141.0
33.0,9.0,14.0,143.0,0.0,139.0,141.0,146.0,139.0,146.0,168.0,36.0,39.0,33.0,33.0,58.0,38.0
151.0,138.0,141.0,64.0,139.0,0.0,16.0,62.0,15.0,70.0,68.0,155.0,153.0,151.0,151.0,156.0,137.0
152.0,140.0,143.0,70.0,141.0,16.0,0.0,68.0,19.0,78.0,77.0,159.0,157.0,156.0,156.0,158.0,139.0
151.0,143.0,146.0,12.0,146.0,62.0,68.0,0.0,63.0,21.0,60.0,155.0,151.0,154.0,154.0,153.0,144.0
150.0,138.0,141.0,67.0,139.0,15.0,19.0,63.0,0.0,73.0,73.0,156.0,154.0,152.0,152.0,158.0,137.0
154.0,145.0,148.0,23.0,146.0,70.0,78.0,21.0,73.0,0.0,64.0,159.0,155.0,158.0,158.0,161.0,149.0
180.0,170.0,173.0,60.0,168.0,68.0,77.0,60.0,73.0,64.0,0.0,179.0,177.0,176.0,176.0,182.0,173.0
49.0,35.0,38.0,153.0,36.0,155.0,159.0,155.0,156.0,159.0,179.0,0.0,19.0,5.0,7.0,68.0,60.0
52.0,38.0,41.0,149.0,39.0,153.0,157.0,151.0,154.0,155.0,177.0,19.0,0.0,18.0,20.0,70.0,61.0
46.0,32.0,35.0,152.0,33.0,151.0,156.0,154.0,152.0,158.0,176.0,5.0,18.0,0.0,2.0,65.0,57.0
46.0,32.0,35.0,152.0,33.0,151.0,156.0,154.0,152.0,158.0,176.0,7.0,20.0,2.0,0.0,65.0,57.0
62.0,51.0,56.0,156.0,58.0,156.0,158.0,153.0,158.0,161.0,182.0,68.0,70.0,65.0,65.0,0.0,62.0
50.0,34.0,35.0,141.0,38.0,137.0,139.0,144.0,137.0,149.0,173.0,60.0,61.0,57.0,57.0,62.0,0.0
